import time: self [us] | cumulative | imported package
import time:      1113 |       1113 |           sqlalchemy.engine.reflection
import time:       754 |      72069 |         sqlalchemy.engine
import time:       232 |        232 |         sqlalchemy.schema
import time:       276 |        276 |         sqlalchemy.types
import time:       234 |        234 |           sqlalchemy.engine.characteristics
import time:       745 |        979 |         sqlalchemy.engine.default
import time:       495 |     115014 |       sqlalchemy
import time:       248 |        248 |                     sqlalchemy.sql._orm_types
import time:       557 |        805 |                   sqlalchemy.orm._typing
import time:       778 |       1582 |                 sqlalchemy.orm.base
import time:       411 |        411 |                 sqlalchemy.orm.mapped_collection
import time:       819 |       2811 |               sqlalchemy.orm.collections
import time:       572 |        572 |                 sqlalchemy.orm.path_registry
import time:       990 |       1562 |               sqlalchemy.orm.interfaces
import time:      1821 |       6193 |             sqlalchemy.orm.attributes
import time:      1666 |       7859 |           sqlalchemy.orm.util
import time:       416 |       8275 |         sqlalchemy.orm.exc
import time:       470 |        470 |             sqlalchemy.orm.state
import time:       650 |       1119 |           sqlalchemy.orm.instrumentation
import time:       183 |        183 |                 sqlalchemy.future.engine
import time:       167 |        350 |               sqlalchemy.future
import time:       843 |       1192 |             sqlalchemy.orm.context
import time:       865 |        865 |                 sqlalchemy.orm.strategy_options
import time:       722 |        722 |                 sqlalchemy.orm.descriptor_props
import time:      1628 |       1628 |                 sqlalchemy.orm.relationships
import time:       927 |       4141 |               sqlalchemy.orm.properties
import time:      3096 |       3096 |               sqlalchemy.orm.query
import time:       441 |        441 |               sqlalchemy.orm.unitofwork
import time:       574 |        574 |                   sqlalchemy.orm.evaluator
import time:       223 |        223 |                     sqlalchemy.orm.sync
import time:       390 |        612 |                   sqlalchemy.orm.persistence
import time:       627 |       1811 |                 sqlalchemy.orm.bulk_persistence
import time:       275 |        275 |                 sqlalchemy.orm.identity
import time:       724 |        724 |                 sqlalchemy.orm.state_changes
import time:      1509 |       4317 |               sqlalchemy.orm.session
import time:       878 |      12871 |             sqlalchemy.orm.strategies
import time:       531 |      14593 |           sqlalchemy.orm.loading
import time:      1395 |      17106 |         sqlalchemy.orm.mapper
import time:       687 |        687 |         sqlalchemy.orm._orm_constructors
import time:       368 |        368 |           sqlalchemy.orm.clsregistry
import time:       856 |        856 |           sqlalchemy.orm.decl_base
import time:       843 |       2066 |         sqlalchemy.orm.decl_api
import time:       394 |        394 |           sqlalchemy.orm.writeonly
import time:       392 |        786 |         sqlalchemy.orm.dynamic
import time:       446 |        446 |           sqlalchemy.orm.scoping
import time:      4131 |       4577 |         sqlalchemy.orm.events
import time:       381 |        381 |         sqlalchemy.orm.dependency
import time:       439 |      34313 |       sqlalchemy.orm
import time:       352 |        352 |           jose.exceptions
import time:       247 |        598 |         jose
import time:      1263 |       1263 |             bcrypt._bcrypt
import time:       222 |       1484 |           bcrypt
import time:       181 |        181 |                               cryptography.__about__
import time:       205 |        385 |                             cryptography
import time:       326 |        710 |                           cryptography.utils
import time:       549 |       1259 |                         jose.utils
import time:       240 |       1498 |                       jose.backends.base
import time:       217 |        217 |                       jose.constants
import time:       230 |       1945 |                     jose.backends.native
import time:       175 |        175 |                             cryptography.hazmat
import time:       228 |        402 |                           cryptography.hazmat.bindings
import time:      2579 |       2579 |                           _cffi_backend
import time:      4903 |       7884 |                         cryptography.hazmat.bindings._rust
import time:       269 |       8152 |                       cryptography.exceptions
import time:       316 |        316 |                       cryptography.hazmat.backends
import time:       233 |        233 |                       cryptography.hazmat.primitives
